City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,rainfall 1hr,snowfall 1hr,Date
211,Sinnamary,GF,5.38,-52.95,82.49,79,49,5.23,light rain,0.91,0.0,2020-06-14 19:28:27
212,Saldanha,ZA,-33.01,17.94,59.0,77,0,3.36,clear sky,0.0,0.0,2020-06-14 19:28:28
213,Lata,PT,40.16,-8.33,66.99,68,100,5.01,overcast clouds,0.0,0.0,2020-06-14 19:27:18
214,Kimbe,PG,-5.55,150.14,76.05,87,2,4.29,clear sky,0.0,0.0,2020-06-14 19:28:28
215,Iskateley,RU,67.68,53.15,52.61,58,100,0.58,overcast clouds,0.0,0.0,2020-06-14 19:28:28
216,Atagay,RU,55.1,99.39,60.13,74,1,4.56,clear sky,0.0,0.0,2020-06-14 19:28:29
217,Le Port,RE,-20.94,55.29,73.4,56,75,14.99,broken clouds,0.0,0.0,2020-06-14 19:28:29
218,Geraldton,AU,-28.77,114.6,53.6,93,75,8.05,broken clouds,0.0,0.0,2020-06-14 19:28:29
219,Marco,US,25.97,-81.73,84.2,94,90,12.75,light rain,0.51,0.0,2020-06-14 19:26:53
220,Hinton,CA,53.4,-117.59,46.13,83,100,8.72,light rain,0.21,0.0,2020-06-14 19:28:30
221,Pinawa,CA,50.15,-95.88,73.94,36,98,15.21,overcast clouds,0.0,0.0,2020-06-14 19:28:30
222,Marovoay,MG,-16.1,46.63,75.2,53,6,2.24,clear sky,0.0,0.0,2020-06-14 19:28:30
223,Naze,JP,28.37,129.48,78.8,100,75,8.05,broken clouds,0.0,0.0,2020-06-14 19:28:30
224,Bonavista,CA,48.65,-53.11,45.0,83,100,4.0,overcast clouds,0.0,0.0,2020-06-14 19:28:31
225,Noshiro,JP,40.2,140.02,65.12,92,78,5.73,light rain,0.56,0.0,2020-06-14 19:28:31
226,Kodiak,US,57.79,-152.41,51.8,81,90,5.82,overcast clouds,0.0,0.0,2020-06-14 19:28:31
227,Plettenberg Bay,ZA,-34.05,23.37,57.99,37,6,5.1,clear sky,0.0,0.0,2020-06-14 19:28:31
228,Tabas,IR,33.6,56.92,96.8,9,0,4.7,clear sky,0.0,0.0,2020-06-14 19:28:31
229,Moerai,PF,-22.43,-151.33,71.33,73,91,18.99,overcast clouds,0.0,0.0,2020-06-14 19:28:32
230,Choix,MX,26.71,-108.32,99.61,29,0,8.14,clear sky,0.0,0.0,2020-06-14 19:28:32
